,Var base,Var specific,DirectMEonY2,uxForY1,MEonY1,uY1ForY2,MEofY1onY2,IndirectMEonY2,TotalMEonY2
DrvrAgeGrp@3,0,3,-0.001418998209998995,0.20241907112259552,0.0005291880913568525,0.5961701934405275,0.0005971875693096818,0.00043668434440626014,-0.000982313865592735
DrvrAgeGrp@4,0,4,-0.0014550893796969055,0.20241907112259552,0.0003477941442906196,0.5961701934405275,0.0005971875693096818,0.0003284343536845008,-0.0011266550260124047
DrvrAgeGrp@5,0,5,-0.0010820722145442052,0.20241907112259552,0.0003735588599308448,0.5961701934405275,0.0005971875693096818,0.0003438098955595853,-0.0007382623189846199
DrvrAgeGrp@6,0,6,-0.0017927840844942922,0.20241907112259552,0.003949704447879454,0.5961701934405275,0.0005971875693096818,0.0024779369321895617,0.0006851528476952695
DrvrSex@Male,Female,Male,0.0005666737056663207,0.20352559984619512,-0.0007050106888737973,0.5961701934405275,0.0005971875693096818,-0.0002991844241187064,0.0002674892815476143
DrvrSex@Unknown,Female,Unknown,0.016678236110996753,0.20352559984619512,0.0,0.5961701934405275,0.0005971875693096818,0.00012154295826445616,0.01679977906926121
DrvrAlcFlg@Yes,No,Yes,0.002917713287224011,0.20305873301508282,0.009452552476695797,0.5961701934405275,0.0005971875693096818,0.0057622391365721864,0.008679952423796197
DrvrAlcFlg@Missing info,No,Missing info,0.00019248897977067192,0.20305873301508282,-0.004782004402455853,0.5961701934405275,0.0005971875693096818,-0.0027324800920346948,-0.002539991112264023
SpeedLimit@2,0,2,0.0026480987789317123,0.2013652470896832,0.0019656478010679768,0.5961701934405275,0.0005971875693096818,0.0012932873126840216,0.003941386091615734
SpeedLimit@3,0,3,0.0049818619690473465,0.2013652470896832,0.0018817411809701756,0.5961701934405275,0.0005971875693096818,0.0012432145787588667,0.006225076547806213
SpeedLimit@1,0,1,0.0019131794946406488,0.2013652470896832,0.0022896025692987765,0.5961701934405275,0.0005971875693096818,0.001486612951286756,0.003399792445927405
SpeedLimit@4,0,4,0.006313434405845392,0.2013652470896832,0.0003658825906870944,0.5961701934405275,0.0005971875693096818,0.0003385996178543599,0.006652034023699752
SpeedLimit@5,0,5,-0.01752868287250911,0.2013652470896832,0.014729340225354132,0.5961701934405275,0.0005971875693096818,0.008910242612740357,-0.008618440259768753
DrvrVehTyp@SUV,Passenger car,SUV,0.00030389002515257557,0.2033255193222703,-0.0006471154008410307,0.5961701934405275,0.0005971875693096818,-0.0002647538903083335,3.9136134844242054e-05
DrvrVehTyp@Pick up,Passenger car,Pick up,0.0010546423106200797,0.2033255193222703,-0.0006216956989393563,0.5961701934405275,0.0005971875693096818,-0.0002495842413784144,0.0008050580692416653
DrvrVehTyp@Van,Passenger car,Van,0.000914309725612017,0.2033255193222703,0.00026442393079556537,0.5961701934405275,0.0005971875693096818,0.0002792230493198905,0.0011935327749319075
DrvrVehTyp@Truck or bus,Passenger car,Truck or bus,0.002810634481995644,0.2033255193222703,-3.824692239678962e-05,0.5961701934405275,0.0005971875693096818,9.85989569522866e-05,0.0029092334389479307
DrvrVehTyp@Other/unknown,Passenger car,Other/unknown,0.00013755806343918042,0.2033255193222703,0.00045922759402231006,0.5961701934405275,0.0005971875693096818,0.0003954755212348393,0.0005330335846740197
BikeDir@With Traffic,Facing Traffic,With Traffic,0.0008465951010336592,0.20652766436087375,-0.008597504506551473,0.5961701934405275,0.0005971875693096818,-0.0050073744937201015,-0.004160779392686442
BikeDir@Other or unknown,Facing Traffic,Other or unknown,0.0013741636059776408,0.20652766436087375,0.01670752063714273,0.5961701934405275,0.0005971875693096818,0.010093839087670364,0.011468002693648005
CrashLoc@Non-Intersection,Intersection,Non-Intersection,0.000452676400080787,0.20875628087949255,-0.011348726070187581,0.5961701934405275,0.0005971875693096818,-0.0066478828787473465,-0.0061952064786665595
CrashLoc@Intersection-Related,Intersection,Intersection-Related,-0.0023161710394259682,0.20875628087949255,-0.0044536210585079394,0.5961701934405275,0.0005971875693096818,-0.0025331091191394817,-0.00484928015856545
CrashLoc@Unknown Location,Intersection,Unknown Location,-0.014711894329400427,0.20875628087949255,0.0,0.5961701934405275,0.0005971875693096818,0.00012466665595656234,-0.014587227673443864
Developmen@Commercial,Other,Commercial,-0.0005657723207809495,0.20313751702495586,0.0,0.5961701934405275,0.0005971875693096818,0.00012131120002774332,-0.0004444611207532062
Developmen@Residential,Other,Residential,0.0004137647055036109,0.20313751702495586,0.0,0.5961701934405275,0.0005971875693096818,0.00012131120002774332,0.0005350759055313542
LightCond@Dark - Lighted Roadway,Daylight,Dark - Lighted Roadway,0.0008646877016333376,0.2032783697307738,0.0004920295121783047,0.5961701934405275,0.0005971875693096818,0.0004150224788749546,0.0012797101805082922
LightCond@Dark - Roadway Not Lighted,Daylight,Dark - Roadway Not Lighted,0.0008887040479875485,0.2032783697307738,-0.0018114220801217218,0.5961701934405275,0.0005971875693096818,-0.0009596022951448707,-7.089824715732218e-05
LightCond@Other,Daylight,Other,0.000540875614695957,0.2032783697307738,-0.0009834666662088265,0.5961701934405275,0.0005971875693096818,-0.0004655055111911638,7.537010350479323e-05
